K-NET,AIC001,尾西,BISAI,35.2974,136.7505,5,-,愛知県,K-NET11A,
K-NET,AIC002,小牧,KOMAKI,35.2979,136.9154,21,-,愛知県,K-NET11A,
K-NET,AIC003,津島,TSUSHIMA,35.1734,136.7402,-1,-,愛知県,K-NET11A,
K-NET,AIC004,名古屋,NAGOYA,35.0631,136.9738,30,-,愛知県,K-NET11A,
K-NET,AIC005,藤岡,FUJIOKA,35.1983,137.2061,134,-,愛知県,K-NET11A,
K-NET,AIC006,稲武,INABU,35.2158,137.5089,505,-,愛知県,K-NET11A,
K-NET,AIC008,設楽,SHITARA,35.1006,137.5757,479,-,愛知県,K-NET11A,
K-NET,AIC009,豊田,TOYOTA,35.0813,137.1466,55,-,愛知県,K-NET11A,
K-NET,AIC010,作手,TSUKUDE,34.9803,137.4297,539,-,愛知県,K-NET11A,
K-NET,AIC011,知多,CHITA,34.9966,136.8641,5,-,愛知県,K-NET11A,
K-NET,AIC012,安城,ANJO,34.9119,137.0446,4,-,愛知県,K-NET11A,
K-NET,AIC013,長篠,NAGASHINO,34.9529,137.6067,92,-,愛知県,K-NET11A,
K-NET,AIC014,蒲郡,GAMAGORI,34.8285,137.2199,10,-,愛知県,K-NET11A,
K-NET,AIC015,豊橋,TOYOHASHI,34.7552,137.404,17,-,愛知県,K-NET11A,
K-NET,AIC016,美浜,MIHAMA,34.7784,136.9082,4,-,愛知県,K-NET11A,
K-NET,AIC017,田原,TAHARA,34.6697,137.2638,10,-,愛知県,K-NET11A,
K-NET,AIC018,渥美,ATSUMI,34.622,137.1086,22,-,愛知県,K-NET11A,
K-NET,AKT001,小坂,KOSAKA,40.328,140.7429,166,-,秋田県,K-NET11B,
K-NET,AKT002,大館,OHDATE,40.2676,140.5664,69,-,秋田県,K-NET11C,
K-NET,AKT003,藤里,FUJISATO,40.2784,140.2631,35,-,秋田県,K-NET11C,
K-NET,AKT004,八森,HACHIMORI,40.3886,139.9822,27,-,秋田県,K-NET11C,
K-NET,AKT005,能代,NOSHIRO,40.202,140.0286,17,-,秋田県,K-NET11C,
K-NET,AKT006,鹿角,KAZUNO,40.2153,140.7873,123,-,秋田県,K-NET11B,
